chr_base	start_base	end_base	name_base	A1_reads_base	A2_reads_base	total_reads_base	allelic_score_base	allelic_ratio_base	chr_target	start_target	end_target	name_target	A1_reads_target	A2_reads_target	total_reads_target	allelic_score_target	allelic_ratio_target	mechanism	linkage_score
chr18	78100090	78142119	Slc14a1	87	31	118	6.906	0.74	chr18	78146143	78596950	Slc14a2	33	10	43	3.518	0.77	enhancing	0.64
chr3	135281220	135304426	Bdh2	14	54	68	-6.256	0.21	chr3	135347992	135397827	Slc9b1	29	8	37	3.424	0.78	repressing	0.64
chr3	135282045	135316253	LOC108168902	16	53	69	-5.342	0.23	chr3	135347992	135397827	Slc9b1	29	8	37	3.424	0.78	repressing	0.64
chr3	135307691	135342845	Slc9b2	65	17	82	7.349	0.79	chr3	135347992	135397827	Slc9b1	29	8	37	3.424	0.78	enhancing	0.64
chr7	45595526	45603548	Gm31479	21	2	23	4.481	0.91	chr7	45684021	45694556	Ntn5	67	20	87	6.667	0.77	enhancing	0.64
chr9	53667245	53681330	Gm16124	35	11	46	3.572	0.76	chr9	53771219	53818161	Slc35f2	64	17	81	7.147	0.79	enhancing	0.64
chr9	83351768	83353979	LOC108167668	2	18	20	-3.696	0.1	chr9	83431546	83454574	Gm2087	6	34	40	-5.379	0.15	enhancing	0.64
chr1	87574026	87597845	Neu2	29	7	36	3.806	0.81	chr1	87620311	87720510	Inpp5d	73	26	99	5.906	0.74	enhancing	0.63
chr1	135783032	135810989	Tnni1	37	3	40	8.012	0.92	chr1	135836314	135852268	Tnnt2	33	8	41	4.251	0.8	enhancing	0.63
chr11	53980224	53985970	Gm30927	36	11	47	3.762	0.77	chr11	53983122	54029383	Slc22a4	187	79	266	10.841	0.7	enhancing	0.63
chr12	109452822	109463336	Dlk1	2	261	263	-74.63	0.01	chr12	109493124	109540886	Gm34081	22	3	25	4.106	0.88	repressing	0.63
chr3	152084024	152107383	Gm31881	41	14	55	3.75	0.75	chr3	152093838	152165900	Gipc2	46	18	64	3.51	0.72	enhancing	0.63
chr7	45595526	45603548	Gm31479	21	2	23	4.481	0.91	chr7	45677685	45694402	Sec1	67	21	88	6.337	0.76	enhancing	0.63
chr1	36714537	36757960	4933424G06Rik	112	3	115	29.214	0.97	chr1	36761797	36782821	Zap70	18	2	20	3.696	0.9	enhancing	0.62
chr1	36714601	36744792	Gm33533	112	2	114	30.501	0.98	chr1	36761797	36782821	Zap70	18	2	20	3.696	0.9	enhancing	0.62
chr11	94133241	94155770	B230206L02Rik	56	23	79	3.88	0.71	chr11	94140268	94172671	Gm35338	41	16	57	3.199	0.72	enhancing	0.62
chr12	109493124	109540886	Gm34081	22	3	25	4.106	0.88	chr12	109540995	109571729	Meg3	42841	19	42860	294.004	1	enhancing	0.62
chr12	109493124	109540886	Gm34081	22	3	25	4.106	0.88	chr12	109603944	109661716	Rian	10804	4	10808	294.004	1	enhancing	0.62
chr14	54875596	54877538	Ppp1r3e	33	11	44	3.201	0.75	chr14	54941920	54968017	Myh6	75	235	310	-19.94	0.24	repressing	0.62
chr17	35512734	35516824	Tcf19	18	44	62	-3.187	0.29	chr17	35517038	35531015	Cchcr1	46	109	155	-6.651	0.3	enhancing	0.62
chr19	42725856	42752824	Pyroxd2	36	132	168	-13.655	0.21	chr19	42778652	42781574	LOC102637720	2	19	21	-3.956	0.1	enhancing	0.62
chr4	103170648	103215368	Slc35d1	121	53	174	6.869	0.7	chr4	103230444	103290953	4921539E11Rik	1	23	24	-5.827	0.04	repressing	0.62
chr5	124483075	124491325	Snrnp35	75	186	261	-11.629	0.29	chr5	124540790	124550503	Tmed2	43	17	60	3.273	0.72	repressing	0.62
chr1	82448418	82586927	Col4a4	16	50	66	-4.779	0.24	chr1	82586920	82722059	Col4a3	16	42	58	-3.366	0.28	enhancing	0.61
chr1	193040981	193095650	Gm31406	40	15	55	3.294	0.73	chr1	193173468	193177837	A130010J15Rik	71	22	93	6.759	0.76	enhancing	0.61
chr1	193040981	193095650	Gm31406	40	15	55	3.294	0.73	chr1	193175503	193201546	Traf3ip3	46	14	60	4.675	0.77	enhancing	0.61
chr11	94133241	94155770	B230206L02Rik	56	23	79	3.88	0.71	chr11	94235950	94247798	Wfikkn2	8	36	44	-4.895	0.18	repressing	0.61
chr18	49979426	50093229	Tnfaip8	77	29	106	5.763	0.73	chr18	50041612	50053050	LOC102635912	58	0	58	17.46	1	enhancing	0.61
chr8	92855328	92919279	Lpcat2	162	71	233	8.93	0.7	chr8	92960417	93001667	Slc6a2	30	8	38	3.627	0.79	enhancing	0.61
chr18	38238404	38250565	1700086O06Rik	35	13	48	2.981	0.73	chr18	38327536	38338993	Gnpda1	119	44	163	8.743	0.73	enhancing	0.6
chr4	117153835	117156132	Rps8	640	155	795	70.311	0.81	chr4	117251950	117268588	Tmem53	10	32	42	-3.328	0.24	repressing	0.6
chr8	121851864	121881073	Gm34168	36	6	42	5.849	0.86	chr8	121916134	121944912	Car5a	12	37	49	-3.629	0.24	repressing	0.6
chr1	193040981	193095650	Gm31406	40	15	55	3.294	0.73	chr1	193048659	193100390	Gm39747	50	13	63	5.822	0.79	enhancing	0.59
chr11	97777525	97782439	Rpl23	93	32	125	7.661	0.74	chr11	97851557	97884386	Fbxo47	25	6	31	3.358	0.81	enhancing	0.59
chr14	20384637	20388910	Dnajc9	106	30	136	10.719	0.78	chr14	20482856	20496901	Mss51	19	46	65	-3.264	0.29	repressing	0.59
chr14	54875596	54877538	Ppp1r3e	33	11	44	3.201	0.75	chr14	54970683	54994549	Myh7	105	24	129	12.853	0.81	enhancing	0.59
chr15	73786935	73839671	Mroh5	53	18	71	4.712	0.75	chr15	73830047	73839908	LOC102634429	35	13	48	2.981	0.73	enhancing	0.59
chr3	14606288	14611256	1810022K09Rik	27	8	35	3.027	0.77	chr3	14641726	14663002	Car13	8	30	38	-3.627	0.21	repressing	0.59
chr5	123876735	123880020	Hcar1	21	4	25	3.342	0.84	chr5	123930327	123969895	Ccdc62	61	19	80	5.865	0.76	enhancing	0.59
chr6	125161720	125166467	Gapdh	1456	65	1521	294.004	0.96	chr6	125192199	125194392	Mrpl51	71	28	99	5.04	0.72	enhancing	0.59
chr7	99859217	99917824	Xrra1	32	11	43	3.019	0.74	chr7	99871364	99917376	Gm38405	29	9	38	3.081	0.76	enhancing	0.59
chr1	36691486	36693388	Cox5b	672	207	879	57.577	0.76	chr1	36761797	36782821	Zap70	18	2	20	3.696	0.9	enhancing	0.58
chr1	58210396	58268600	Aox4	5	31	36	-5.19	0.14	chr1	58278325	58379264	Aox2	17	3	20	2.89	0.85	repressing	0.58
chr11	51650953	51657681	D930048N14Rik	45	19	64	3.107	0.7	chr11	51652089	51657090	Gm30058	35	13	48	2.981	0.73	enhancing	0.58
chr11	108425064	108860615	Cep112	46	20	66	3.032	0.7	chr11	108864078	108912539	LOC108167934	67	23	90	5.722	0.74	enhancing	0.58
chr18	38105756	38145025	Gm30188	24	57	81	-3.8	0.3	chr18	38238404	38250565	1700086O06Rik	35	13	48	2.981	0.73	repressing	0.58
chr18	62548910	62664341	Spink10	62	18	80	6.39	0.78	chr18	62744104	62765941	Gm36598	9	28	37	-2.892	0.24	repressing	0.58
chr3	95032687	95042614	Psmd4	20	57	77	-4.835	0.26	chr3	95134087	95139525	Lysmd1	29	10	39	2.772	0.74	repressing	0.58
chr7	80956404	80981429	Gm32178	59	18	77	5.816	0.77	chr7	81057469	81105612	Alpk3	2	18	20	-3.696	0.1	repressing	0.58
chr9	103250522	103288297	1300017J02Rik	19	4	23	2.886	0.83	chr9	103353101	103365835	Cdv3	186	42	228	22.39	0.82	enhancing	0.58
chr14	54875596	54877538	Ppp1r3e	33	11	44	3.201	0.75	chr14	54968786	54974349	Mhrt	68	13	81	9.72	0.84	enhancing	0.57
chr17	43534172	43551281	Ankrd66	27	8	35	3.027	0.77	chr17	43568080	43612202	Pla2g7	1004	400	1404	59.715	0.72	enhancing	0.57
chr17	83501916	83514333	Cox7a2l	673	148	821	80.257	0.82	chr17	83545679	83550593	Gm41635	17	3	20	2.89	0.85	enhancing	0.57
chr11	94140268	94172671	Gm35338	41	16	57	3.199	0.72	chr11	94235950	94247798	Wfikkn2	8	36	44	-4.895	0.18	repressing	0.56
chr11	94507161	94518588	Gm35650	15	36	51	-2.638	0.29	chr11	94557101	94601890	Acsf2	128	53	181	7.918	0.71	repressing	0.56
chr13	67779692	67789082	Zfp493	16	40	56	-3.036	0.29	chr13	67831035	67844879	Gm10037	161	46	207	15.727	0.78	repressing	0.56
chr17	32905069	32917351	Cyp4f14	38	10	48	4.511	0.79	chr17	32950960	32965716	Cyp4f41-ps	20	5	25	2.691	0.8	enhancing	0.56
chr18	20558073	20604526	Dsg2	27	8	35	3.027	0.77	chr18	20597961	20665260	Gm16090	21	4	25	3.342	0.84	enhancing	0.56
chr19	46303589	46305623	4833438C02Rik	3	20	23	-3.612	0.13	chr19	46356876	46375254	Tmem180	132	340	472	-21.782	0.28	enhancing	0.56
chr5	149006961	149012776	Gm15408	16	39	55	-2.875	0.29	chr5	149046701	149053057	Hmgb1	136	45	181	11.397	0.75	repressing	0.56
chr6	5220851	5256242	Pon3	27	7	34	3.386	0.79	chr6	5264619	5298373	Pon2	207	19	226	40.686	0.92	enhancing	0.56
chr11	96464569	96759622	Skap1	32	9	41	3.667	0.78	chr11	96849875	96861203	Copz2	21	6	27	2.528	0.78	enhancing	0.55
chr18	37294839	37297614	Pcdhb2	34	14	48	2.559	0.71	chr18	37334027	37336346	Pcdhb6	15	39	54	-3.126	0.28	repressing	0.55
chr18	62605897	62741387	Spink13	100	22	122	12.647	0.82	chr18	62744104	62765941	Gm36598	9	28	37	-2.892	0.24	repressing	0.55
chr3	96555767	96566801	Gm15441	26	9	35	2.524	0.74	chr3	96557956	96561857	Txnip	26	9	35	2.524	0.74	enhancing	0.55
chr6	85865421	85869137	Nat8f2	7	80	87	-16.384	0.08	chr6	85899049	85909428	Nat8f4	60	25	85	4.03	0.71	repressing	0.55
chr7	25461701	25477625	Ceacam1	31	12	43	2.569	0.72	chr7	25516041	25540004	Ceacam2	17	44	61	-3.438	0.28	repressing	0.55
chr1	42738846	42744791	LOC108167622	23	6	29	2.936	0.79	chr1	42750711	42752886	Dalir	23	3	26	4.357	0.88	enhancing	0.54
chr11	97013568	97024739	Sp6	4	17	21	-2.444	0.19	chr11	97020507	97026418	Gm11532	4	17	21	-2.444	0.19	enhancing	0.54
chr16	3943806	3979017	Nlrc3	22	113	135	-15.517	0.16	chr16	4036972	4040024	Dnase1	32	11	43	3.019	0.74	repressing	0.54
chr16	33056452	33060189	Rpl35a	530	33	563	116.039	0.94	chr16	33114401	33124023	Gm38540	39	13	52	3.689	0.75	enhancing	0.54
chr17	35517038	35531015	Cchcr1	46	109	155	-6.651	0.3	chr17	35543081	35557180	Cdsn	18	2	20	3.696	0.9	repressing	0.54
chr3	96555767	96566801	Gm15441	26	9	35	2.524	0.74	chr3	96645583	96664519	Itga10	53	21	74	3.892	0.72	enhancing	0.54
chr3	96557956	96561857	Txnip	26	9	35	2.524	0.74	chr3	96645583	96664519	Itga10	53	21	74	3.892	0.72	enhancing	0.54
chr3	142560015	142573213	Gbp3	25	131	156	-18.116	0.16	chr3	142566589	142569065	Gm40158	6	22	28	-2.731	0.21	enhancing	0.54
chr8	125685450	125696400	Gm39283	32	12	44	2.738	0.73	chr8	125774061	125790689	Gm39284	61	16	77	6.918	0.79	enhancing	0.54
chr16	32332167	32393750	Ubxn7	39	16	55	2.875	0.71	chr16	32419684	32429099	Tctex1d2	33	14	47	2.401	0.7	enhancing	0.53
chr7	4784784	4789560	Tmem238	24	8	32	2.456	0.75	chr7	4792887	4794562	Rpl28	277	86	363	24.11	0.76	enhancing	0.53
chr1	171345553	171358170	Pfdn2	65	27	92	4.334	0.71	chr1	171437560	171464593	F11r	31	13	44	2.321	0.7	enhancing	0.52
chr12	27029886	27083550	Gm30515	48	16	64	4.413	0.75	chr12	27090236	27114995	Gm20187	19	5	24	2.481	0.79	enhancing	0.52
chr15	98917968	98942526	Gm41396	465	43	508	90.105	0.92	chr15	98985964	98989281	4930578M01Rik	20	49	69	-3.497	0.29	repressing	0.52
chr15	99242816	99251961	Mcrs1	239	87	326	17.111	0.73	chr15	99271017	99295885	Fam186b	21	6	27	2.528	0.78	enhancing	0.52
chr5	143890636	143895067	Ankrd61	9	25	34	-2.345	0.26	chr5	143950378	143981212	LOC108169081	87	31	118	6.906	0.74	repressing	0.52
chr6	145174871	145211017	Casc1	4	20	24	-3.112	0.17	chr6	145250551	145251856	Gm15706	27	9	36	2.706	0.75	repressing	0.52
chr7	122034161	122067086	Ears2	71	31	102	4.332	0.7	chr7	122159434	122169884	Plk1	13	31	44	-2.321	0.3	repressing	0.52
chr11	82900767	82908445	Nle1	50	123	173	-7.859	0.29	chr11	82942340	82960681	Slfn5os	25	9	34	2.345	0.74	repressing	0.51
chr11	82942340	82960681	Slfn5os	25	9	34	2.345	0.74	chr11	82951348	82964855	Slfn5	63	25	88	4.504	0.72	enhancing	0.51
chr15	75909734	75914535	Tigd5	33	12	45	2.91	0.73	chr15	76001091	76014336	Fam83h	10	26	36	-2.247	0.28	repressing	0.51
chr17	43534172	43551281	Ankrd66	27	8	35	3.027	0.77	chr17	43615333	43631351	Tdrd6	18	5	23	2.275	0.78	enhancing	0.51
chr18	37473545	37476340	Pcdhb15	50	20	70	3.657	0.71	chr18	37513651	37516363	Pcdhb21	25	9	34	2.345	0.74	enhancing	0.51
chr19	5305872	5306997	Gm42064	26	8	34	2.833	0.76	chr19	5406814	5422847	4930481A15Rik	31	4	35	5.761	0.89	enhancing	0.51
chr2	66412672	66421589	Gm13630	23	8	31	2.273	0.74	chr2	66440879	66547472	Gm13629	315	105	420	25.034	0.75	enhancing	0.51
chr3	95893920	95898592	Aph1a	10	27	37	-2.418	0.27	chr3	95897767	95905119	Car14	7	22	29	-2.391	0.24	enhancing	0.51
chr4	153985479	153988488	Gm42361	11	29	40	-2.493	0.28	chr4	154056248	154140208	Trp73	26	10	36	2.247	0.72	repressing	0.51
chr9	50521616	50528641	Pts	136	54	190	8.923	0.72	chr9	50617320	50625000	Pih1d2	31	13	44	2.321	0.7	enhancing	0.51
chr9	120964453	121286187	Ulk4	202	87	289	11.27	0.7	chr9	121277795	121279883	Gm34655	20	5	25	2.691	0.8	enhancing	0.51
chr1	63754908	63769267	4933402D24Rik	60	24	84	4.271	0.71	chr1	63851920	63936247	Cpo	4	18	22	-2.663	0.18	repressing	0.5
chr15	98931426	98934560	Tuba1b	420	22	442	96.114	0.95	chr15	98985964	98989281	4930578M01Rik	20	49	69	-3.497	0.29	repressing	0.5
chr17	35512734	35516824	Tcf19	18	44	62	-3.187	0.29	chr17	35543081	35557180	Cdsn	18	2	20	3.696	0.9	repressing	0.5
chr17	43534172	43551281	Ankrd66	27	8	35	3.027	0.77	chr17	43588339	43591509	1700071M16Rik	37	2	39	8.848	0.95	enhancing	0.5
chr6	85843820	85845390	Gm9769	47	0	47	14.148	1	chr6	85899049	85909428	Nat8f4	60	25	85	4.03	0.71	enhancing	0.5
chr1	82586920	82722059	Col4a3	16	42	58	-3.366	0.28	chr1	82691510	82727201	LOC105243964	7	21	28	-2.203	0.25	enhancing	0.49
chr2	152847963	152895321	Tpx2	11	34	45	-3.385	0.24	chr2	152911275	152923065	Mylk2	0	36	36	-10.837	0	enhancing	0.49
chr7	119922670	120095676	Dnah3	74	16	90	9.659	0.82	chr7	119966342	119994747	Gm40455	18	5	23	2.275	0.78	enhancing	0.49
chr7	141194111	141210055	Lrrc56	9	24	33	-2.17	0.27	chr7	141215629	141218658	Rassf7	22	8	30	2.094	0.73	repressing	0.49
chr1	42598930	42641594	Gm30248	82	1	83	23.061	0.99	chr1	42738846	42744791	LOC108167622	23	6	29	2.936	0.79	enhancing	0.48
chr1	165066616	165091930	4930568G15Rik	4	18	22	-2.663	0.18	chr1	165137833	165160773	Tbx19	24	1	25	6.111	0.96	repressing	0.48
chr11	59155367	59164589	Iba57	26	11	37	1.998	0.7	chr11	59211411	59228267	Arf1	481	206	687	25.825	0.7	enhancing	0.48
chr12	21390328	21417436	Ywhaq	412	116	528	39.443	0.78	chr12	21398602	21409360	F630048H11Rik	17	5	22	2.073	0.77	enhancing	0.48
chr12	83987860	83993877	Acot2	27	8	35	3.027	0.77	chr12	84018326	84029448	Gm40474	37	1	38	9.848	0.97	enhancing	0.48
chr16	13715056	13731018	Pla2g10	4	17	21	-2.444	0.19	chr16	13818829	13835450	Ntan1	473	196	669	26.91	0.71	repressing	0.48
chr17	24632681	24638838	Nthl1	17	44	61	-3.438	0.28	chr17	24720062	24721927	Rps2	862	22	884	222.443	0.98	repressing	0.48
chr17	43568080	43612202	Pla2g7	1004	400	1404	59.715	0.72	chr17	43615333	43631351	Tdrd6	18	5	23	2.275	0.78	enhancing	0.48
chr7	122107261	122132980	Palb2	46	13	59	5.018	0.78	chr7	122159434	122169884	Plk1	13	31	44	-2.321	0.3	repressing	0.48
chr9	50554704	50581841	Il18	235	69	304	21.915	0.77	chr9	50617320	50625000	Pih1d2	31	13	44	2.321	0.7	enhancing	0.48
chr9	72807273	72917307	Prtg	28	11	39	2.324	0.72	chr9	72979716	72985376	Ccpg1os	18	5	23	2.275	0.78	enhancing	0.48
chr11	22899727	22983108	Commd1	26	347	373	-72.379	0.07	chr11	23006691	23045743	Fam161a	43	18	61	3.03	0.7	repressing	0.47
chr11	78193391	78205763	Proca1	23	9	32	1.999	0.72	chr11	78290726	78296805	BC030499	74	31	105	4.786	0.7	enhancing	0.47
chr11	115307162	115332306	Otop2	20	7	27	2.019	0.74	chr11	115397169	115401253	Gm32013	19	6	25	2.136	0.76	enhancing	0.47
chr11	115397169	115401253	Gm32013	19	6	25	2.136	0.76	chr11	115415690	115419919	Atp5h	319	73	392	37.342	0.81	enhancing	0.47
chr15	98949846	98953501	Tuba1a	1744	25	1769	294.004	0.99	chr15	98985964	98989281	4930578M01Rik	20	49	69	-3.497	0.29	repressing	0.47
chr7	44446892	44451818	Gm39003	31	13	44	2.321	0.7	chr7	44470346	44470411	Mir7052	22	6	28	2.731	0.79	enhancing	0.47
chr7	142966821	143008033	Ascl2	24	7	31	2.779	0.77	chr7	143106741	143427050	Kcnq1	11	246	257	-58.531	0.04	repressing	0.47
chr1	16065973	16093344	4930444P10Rik	17	5	22	2.073	0.77	chr1	16101294	16104433	Rpl7	392	88	480	46.399	0.82	enhancing	0.46
chr1	180256375	180276471	Gm31728	19	5	24	2.481	0.79	chr1	180326968	180330549	Gm5069	27	11	38	2.159	0.71	enhancing	0.46
chr11	78193391	78205763	Proca1	23	9	32	1.999	0.72	chr11	78292842	78301382	Gm3948	68	22	90	6.204	0.76	enhancing	0.46
chr18	38212111	38229163	2010320O07Rik	18	6	24	1.946	0.75	chr18	38238404	38250565	1700086O06Rik	35	13	48	2.981	0.73	enhancing	0.46
chr18	38212111	38229163	2010320O07Rik	18	6	24	1.946	0.75	chr18	38327536	38338993	Gnpda1	119	44	163	8.743	0.73	enhancing	0.46
chr9	73101382	73106631	Khdc3	6	18	24	-1.946	0.25	chr9	73113468	73123333	Rsl24d1	138	48	186	10.86	0.74	repressing	0.46
chr9	115884670	116076176	Gadl1	38	14	52	3.224	0.73	chr9	116040530	116041123	Gm9385	29	0	29	8.73	1	enhancing	0.46
chr11	67025153	67035312	Tmem220	27	11	38	2.159	0.71	chr11	67078272	67102291	Myh3	26	108	134	-12.65	0.19	repressing	0.45
chr11	115307162	115332306	Otop2	20	7	27	2.019	0.74	chr11	115415690	115419919	Atp5h	319	73	392	37.342	0.81	enhancing	0.45
chr15	101221190	101225186	A330009N23Rik	21	8	29	1.919	0.72	chr15	101221246	101222155	AU021063	19	7	26	1.839	0.73	enhancing	0.45
chr18	38105756	38145025	Gm30188	24	57	81	-3.8	0.3	chr18	38212111	38229163	2010320O07Rik	18	6	24	1.946	0.75	repressing	0.45
chr19	6922425	6925380	Tex40	12	28	40	-2.081	0.3	chr19	6977738	6980501	Fkbp2	40	12	52	4.195	0.77	repressing	0.45
chr3	94362443	94364567	C2cd4d	16	5	21	1.876	0.76	chr3	94372716	94398276	Rorc	49	17	66	4.295	0.74	enhancing	0.45
chr11	59155367	59164589	Iba57	26	11	37	1.998	0.7	chr11	59175563	59183213	Gjc2	57	16	73	6.118	0.78	enhancing	0.44
chr11	96849875	96861203	Copz2	21	6	27	2.528	0.78	chr11	96862441	96880623	LOC102641351	42	1	43	11.301	0.98	enhancing	0.44
chr17	36003991	36020845	H2-T24	165	23	188	27.246	0.88	chr17	36038406	36042743	H2-T22	19	6	25	2.136	0.76	enhancing	0.44
chr5	120419655	120431772	Gm27199	25	10	35	2.079	0.71	chr5	120476546	120483932	Sds	46	186	232	-20.724	0.2	repressing	0.44
chr1	121087404	121120975	Celrr	21	8	29	1.919	0.72	chr1	121116975	121148039	LOC108167723	37	9	46	4.693	0.8	enhancing	0.43
chr11	22972004	22976496	Zrsr1	2	319	321	-91.917	0.01	chr11	23006691	23045743	Fam161a	43	18	61	3.03	0.7	repressing	0.43
chr12	69197210	69199868	9330151L19Rik	182	47	229	19.514	0.79	chr12	69201772	69228247	Pole2	19	7	26	1.839	0.73	enhancing	0.43
chr15	79252612	79256687	Lgals1-ps2	20	8	28	1.748	0.71	chr15	79258194	79285532	Baiap2l2	19	7	26	1.839	0.73	enhancing	0.43
chr17	43588339	43591509	1700071M16Rik	37	2	39	8.848	0.95	chr17	43615333	43631351	Tdrd6	18	5	23	2.275	0.78	enhancing	0.43
chr14	54369441	54417702	Slc7a7	46	15	61	4.355	0.75	chr14	54476099	54480434	Rem2	20	8	28	1.748	0.71	enhancing	0.42
chr17	6904715	6948356	Rsph3b	18	7	25	1.665	0.72	chr17	6954964	6961921	Tagap1	24	10	34	1.915	0.71	enhancing	0.42
chr17	6954964	6961921	Tagap1	24	10	34	1.915	0.71	chr17	6978859	6998193	Rnaset2b	4	16	20	-2.228	0.2	repressing	0.42
chr4	45799021	45804608	Aldh1b1	48	20	68	3.34	0.71	chr4	45890302	45950774	Ccdc180	21	9	30	1.67	0.7	enhancing	0.42
chr10	18743250	18837997	Gm32926	77	24	101	7.229	0.76	chr10	18797298	18831930	4930444F02Rik	23	10	33	1.756	0.7	enhancing	0.41
chr11	66905631	66947086	Gm12298	5	15	20	-1.684	0.25	chr11	67025153	67035312	Tmem220	27	11	38	2.159	0.71	repressing	0.41
chr11	84449193	84461841	LOC108167915	16	6	22	1.581	0.73	chr11	84525659	84535831	Lhx1os	130	50	180	8.972	0.72	enhancing	0.41
chr17	35994503	36038174	A930015D03Rik	367	26	393	77.792	0.93	chr17	36038406	36042743	H2-T22	19	6	25	2.136	0.76	enhancing	0.41
chr19	3913490	3930860	Aldh3b1	24	4	28	4.046	0.86	chr19	4003384	4007005	Doc2g	23	9	32	1.999	0.72	enhancing	0.41
chr14	54783340	54853947	Rnf212b	16	6	22	1.581	0.73	chr14	54875596	54877538	Ppp1r3e	33	11	44	3.201	0.75	enhancing	0.4
chr14	54783340	54853947	Rnf212b	16	6	22	1.581	0.73	chr14	54941920	54968017	Myh6	75	235	310	-19.94	0.24	repressing	0.4
chr15	79166065	79216401	Gm10863	33	6	39	5.146	0.85	chr15	79258194	79285532	Baiap2l2	19	7	26	1.839	0.73	enhancing	0.4
chr5	115102921	115110268	Rpl37rt	99	0	99	29.802	1	chr5	115194377	115205256	Gm35515	22	7	29	2.391	0.76	enhancing	0.4
chr6	65117292	65145015	Hpgds	65	28	93	4.104	0.7	chr6	65122406	65127323	Gm35906	16	6	22	1.581	0.73	enhancing	0.4
chr7	141359177	141365110	B230206H07Rik	178	67	245	12.371	0.73	chr7	141438112	141445744	Pidd1	19	8	27	1.583	0.7	enhancing	0.4
chr1	92908377	92910689	5033417F24Rik	22	108	130	-14.4	0.17	chr1	92950859	92986391	Gpr35	20	8	28	1.748	0.71	repressing	0.39
chr14	105589548	105593929	9330188P03Rik	18	50	68	-4.184	0.26	chr14	105623641	105623770	Mir6390	7	17	24	-1.495	0.29	enhancing	0.39
chr16	23515292	23588307	Gm31077	68	21	89	6.524	0.76	chr16	23601292	23614222	Rtp4	19	8	27	1.583	0.7	enhancing	0.39
chr17	6904715	6948356	Rsph3b	18	7	25	1.665	0.72	chr17	6978859	6998193	Rnaset2b	4	16	20	-2.228	0.2	repressing	0.39
chr3	37312484	37321450	Bbs12	19	7	26	1.839	0.73	chr3	37348476	37404893	Fgf2	7	17	24	-1.495	0.29	repressing	0.39
chr1	17098572	17124568	Gm31982	25	6	31	3.358	0.81	chr1	17168401	17173109	Gm28784	16	6	22	1.581	0.73	enhancing	0.38
chr15	79166065	79216401	Gm10863	33	6	39	5.146	0.85	chr15	79252612	79256687	Lgals1-ps2	20	8	28	1.748	0.71	enhancing	0.38
chr2	155059309	155074497	Ahcy	47	3	50	10.732	0.94	chr2	155074589	155098791	LOC108168806	20	7	27	2.019	0.74	enhancing	0.38
chr2	160880669	160906000	Lpin3	20	8	28	1.748	0.71	chr2	160906437	160912339	Emilin3	17	3	20	2.89	0.85	enhancing	0.38
chr7	122159434	122169884	Plk1	13	31	44	-2.321	0.3	chr7	122208620	122222539	Chp2	6	15	21	-1.407	0.29	enhancing	0.38
chr7	141438112	141445744	Pidd1	19	8	27	1.583	0.7	chr7	141461480	141467783	Gm10575	44	13	57	4.628	0.77	enhancing	0.38
chr7	141438112	141445744	Pidd1	19	8	27	1.583	0.7	chr7	141471859	141475153	Polr2l	53	16	69	5.342	0.77	enhancing	0.38
chr11	59155367	59164589	Iba57	26	11	37	1.998	0.7	chr11	59197792	59202431	2610507I01Rik	156	12	168	32.69	0.93	enhancing	0.37
chr3	94372716	94398276	Rorc	49	17	66	4.295	0.74	chr3	94433386	94436651	Oaz3	15	6	21	1.407	0.71	enhancing	0.37
chr18	67289512	67305817	Gm30321	5	16	21	-1.876	0.24	chr18	67390730	67402749	Tubb6	69	2	71	17.965	0.97	repressing	0.36
chr19	40867963	40874072	LOC108168428	5	17	22	-2.073	0.23	chr19	40868315	40882639	E030044B06Rik	6	15	21	-1.407	0.29	enhancing	0.36
chr3	94362443	94364567	C2cd4d	16	5	21	1.876	0.76	chr3	94433386	94436651	Oaz3	15	6	21	1.407	0.71	enhancing	0.36
chr6	120093379	120200531	Ninj2	39	2	41	9.407	0.95	chr6	120200752	120295023	B4galnt3	21	8	29	1.919	0.72	enhancing	0.36
chr1	125913635	126830900	Nckap5	112	49	161	6.425	0.7	chr1	126046688	126102537	Gm35562	14	6	20	1.239	0.7	enhancing	0.35
chr17	47384693	47392967	Guca1b	8	20	28	-1.748	0.29	chr17	47394556	47413514	Guca1a	104	9	113	21.202	0.92	repressing	0.35
chr3	107926333	107931871	Gstm7	11	80	91	-13.656	0.12	chr3	108030569	108045082	Gstm4	16	6	22	1.581	0.73	repressing	0.35
chr7	122107261	122132980	Palb2	46	13	59	5.018	0.78	chr7	122208620	122222539	Chp2	6	15	21	-1.407	0.29	repressing	0.35
chr7	141438112	141445744	Pidd1	19	8	27	1.583	0.7	chr7	141460869	141466613	Cracr2b	32	6	38	4.915	0.84	enhancing	0.35
chr8	83566757	83571623	Ndufb7	16	7	23	1.332	0.7	chr8	83576091	83591856	LOC105246804	51	150	201	-12.078	0.25	repressing	0.35
chr10	17782890	17796257	Gm20655	14	6	20	1.239	0.7	chr10	17796218	17845663	Txlnb	23	6	29	2.936	0.79	enhancing	0.32
chr11	94235950	94247798	Wfikkn2	8	36	44	-4.895	0.18	chr11	94343294	94393018	Abcc3	7	16	23	-1.332	0.3	enhancing	0.32
chr9	121898354	121911075	Ackr2	9	22	31	-1.832	0.29	chr9	121937274	121947016	1700048O20Rik	79	0	79	23.781	1	repressing	0.32
