chr	start	end	name	A1_reads	A2_reads	total_reads	allelic_score	allelic_ratio
chr11	56625708	56665284	LOC108167866	2	1	3	0	0.67
chr11	56719506	56726642	Gm39826	16	12	28	0.544	0.57
chr11	57011570	57330244	Gria1	1419	1214	2633	4.458	0.54
chr11	57482989	57518656	Fam114a2	494	399	893	3.085	0.55
chr11	57518651	57533817	Mfap3	330	305	635	0.768	0.52
chr11	57614794	57653921	LOC102635527	2	4	6	0	0.33
chr11	57645441	57787501	Galnt10	144	115	259	1.389	0.56
chr11	57706092	57710163	LOC108167902	2	0	2	0	1
chr11	57795498	57801467	2010001A14Rik	102	198	300	-7.798	0.34
chr11	57800734	57801973	LOC108167857	53	113	166	-5.733	0.32
chr11	57801636	57810615	Sap30l	78	98	176	-1.12	0.44
chr11	57973274	58062034	Larp1	0	1	1	0	0
chr11	58120000	58168559	Gemin5	3	0	3	0	1
chr11	58170042	58179580	Mrpl22	1	0	1	0	1
chr11	58214976	58222783	Irgm2	2	1	3	0	0.67
chr11	58307043	58314613	Zfp692	138	148	286	-0.527	0.48
chr11	58330706	58347728	Sh3bp5l	48	44	92	0.423	0.52
chr11	58783891	58802238	Fam183b	1	0	1	0	1
chr11	58847118	58861957	LOC108167848	10	17	27	-0.907	0.37
chr11	58917876	58926965	Btnl10	0	1	1	0	0
chr11	58932287	58938906	Rnf187	272	245	517	0.898	0.53
chr11	58948910	58949372	Hist3h2ba	52	30	82	2.004	0.63
chr11	58954684	58955192	Hist3h2a	55	40	95	1.123	0.58
chr11	58954701	58973097	Trim17	222	239	461	-0.642	0.48
chr11	58961710	58962273	Gm12260	0	1	1	0	0
chr11	58972449	58977210	Gm39828	68	39	107	2.487	0.64
chr11	58978074	58991462	Trim11	163	209	372	-2.011	0.44
chr11	58994255	59136375	Obscn	29	40	69	-0.942	0.42
chr11	59155367	59164589	Iba57	26	11	37	1.998	0.7
chr11	59175563	59183213	Gjc2	57	16	73	6.118	0.78
chr11	59183854	59192207	Guk1	240	292	532	-1.871	0.45
chr11	59197792	59202431	2610507I01Rik	156	12	168	32.69	0.93
chr11	59202485	59206137	Mrpl55	180	122	302	3.299	0.6
chr11	59208360	59210736	2310033P09Rik	30	24	54	0.605	0.56
chr11	59211411	59228267	Arf1	481	206	687	25.825	0.7
chr11	59248035	59290751	Wnt3a	3	0	3	0	1
chr11	59306848	59333552	Wnt9a	47	46	93	0.301	0.51
chr11	59371425	59375653	Prss38	0	1	1	0	0
chr11	59375318	59398879	Gm15755	76	65	141	0.699	0.54
chr11	59407140	59450034	Snap47	546	530	1076	0.49	0.51
chr11	59450044	59458567	Jmjd4	289	228	517	2.384	0.56
chr11	59461196	59472602	Zfp867	48	33	81	1.224	0.59
chr11	59485519	59506640	Zkscan17	136	62	198	7.113	0.69
chr11	59505652	59511385	4933439C10Rik	187	125	312	3.574	0.6
chr11	59541568	59566956	Nlrp3	11	10	21	0.301	0.52
chr11	59662472	59780860	Mprip	1645	1479	3124	2.803	0.53
chr11	59725916	59740154	1700007J10Rik	72	71	143	0.301	0.5
chr11	59783892	59787657	Pld6	8	2	10	1.262	0.8
chr11	59791407	59810123	Flcn	439	294	733	7.322	0.6
chr11	59810079	59818362	Gm16062	56	59	115	-0.371	0.49
chr11	59817794	59839837	Cops3	221	170	391	2.246	0.57
chr11	59847505	59876533	Nt5m	140	99	239	2.322	0.59
chr11	59946891	59948147	Med9os	4	1	5	0	0.8
chr11	59948213	59963306	Med9	240	159	399	4.532	0.6
chr11	59970613	60046510	Pemt	26	10	36	2.247	0.72
chr11	60105012	60199197	Rai1	533	517	1050	0.493	0.51
chr11	60199083	60222686	Srebf1	145	165	310	-0.853	0.47
chr11	60223795	60352911	Tom1l2	1544	1293	2837	5.878	0.54
chr11	60352917	60394342	Lrrc48	103	127	230	-1.19	0.45
chr11	60400623	60418490	Atpaf2	135	111	246	1.148	0.55
chr11	60417144	60445277	Gid4	261	216	477	1.659	0.55
chr11	60454616	60468752	Drg2	255	277	532	-0.742	0.48
chr11	60469338	60528369	Myo15	11	33	44	-3.201	0.25
chr11	60537682	60558512	Alkbh5	296	281	577	0.553	0.51
chr11	60699667	60714188	Llgl1	280	260	540	0.684	0.52
chr11	60714142	60727263	Flii	304	238	542	2.586	0.56
chr11	60728397	60732951	Mief2	66	52	118	0.937	0.56
chr11	60739472	60777365	Top3a	42	27	69	1.341	0.61
chr11	60777524	60788287	Smcr8	220	161	381	2.836	0.58
chr11	60788885	60811265	Shmt1	10	51	61	-7.318	0.16
chr11	60830630	60858423	Dhrs7b	98	98	196	-0.277	0.5
chr11	60864451	60879038	Tmem11	46	49	95	-0.378	0.48
chr11	60884199	60886385	Gm26534	4	0	4	0	1
chr11	60902245	60913792	Natd1	69	69	138	-0.273	0.5
chr11	60913916	60917697	Gm39830	1	5	6	0	0.17
chr11	60920940	60931867	Map2k3os	18	8	26	1.423	0.69
chr11	60932056	60952803	Map2k3	68	59	127	0.622	0.54
chr11	61022563	61073269	Kcnj12	313	320	633	-0.392	0.49
chr11	61048154	61065482	LOC108167904	3	12	15	-1.755	0.2
chr11	61126740	61149373	Tnfrsf13b	19	12	31	0.852	0.61
chr11	61151780	61175059	Usp22	1046	906	1952	3.084	0.54
chr11	61195698	61204089	Gm42080	0	5	5	0	0
chr11	61208509	61218418	Aldh3a1	9	13	22	-0.582	0.41
chr11	61224485	61267523	Aldh3a2	537	510	1047	0.676	0.51
chr11	61301626	61342860	Slc47a2	2	3	5	0	0.4
chr11	61343399	61378783	Slc47a1	15	6	21	1.407	0.71
chr11	61448416	61454188	Rnf112	1589	1384	2973	4.041	0.53
chr11	61485377	61488708	Mfap4	11	9	20	0.385	0.55
chr11	61488811	61494272	Mapk7	84	81	165	0.358	0.51
chr11	61504384	61505178	B9d1os	4	8	12	-0.713	0.33
chr11	61505162	61512929	B9d1	153	153	306	-0.282	0.5
chr11	61517248	61579719	Epn2	355	284	639	2.555	0.56
chr11	61653320	61672777	Grap	31	15	46	1.888	0.67
chr11	61672781	61720816	Slc5a10	2	0	2	0	1
chr11	61684081	61709950	Fam83g	2	0	2	0	1
chr11	61729649	61762088	Prpsap2	120	97	217	1.17	0.55
chr11	61775597	61855322	Ulk2	88	64	152	1.51	0.58
chr11	61865202	61930306	Akap10	516	375	891	5.885	0.58
chr11	61956762	62223013	Specc1	787	665	1452	3.129	0.54
chr11	62038463	62054431	Gm39988	13	5	18	1.318	0.72
chr11	62129562	62132303	Gm39985	40	38	78	0.342	0.51
chr11	62248983	62266452	Adora2b	25	41	66	-1.495	0.38
chr11	62267223	62281395	Zswim7	95	89	184	0.448	0.52
chr11	62281458	62316441	Ttc19	295	265	560	0.958	0.53
chr11	62315662	62458703	Ncor1	1221	1045	2266	3.93	0.54
chr11	62458459	62513900	Pigl	108	53	161	5.059	0.67
chr11	62524943	62539509	Cenpv	111	104	215	0.467	0.52
chr11	62545700	62551086	Gm12279	17	14	31	0.444	0.55
chr11	62551170	62553213	Ubb	853	9	862	238.642	0.99
chr11	62574485	62600305	Trpv2	168	78	246	8.318	0.68
chr11	62602876	62604806	2410006H16Rik	131	122	253	0.512	0.52
chr11	62603085	62603148	Snord49b	0	3	3	0	0
chr11	62604883	62648582	Lrrc75a	45	39	84	0.533	0.54
chr11	62648631	62666359	Mmgt2	90	88	178	0.328	0.51
chr11	62692443	62731885	Zfp287	256	206	462	1.948	0.55
chr11	62756364	62767492	Zfp286os	1	0	1	0	1
chr11	62778386	62789483	Zfp286	150	135	285	0.691	0.53
chr11	62820190	62842948	Trim16	31	19	50	1.226	0.62
chr11	62846989	62877464	Fbxw10	18	13	31	0.626	0.58
chr11	62879434	62895186	Tvp23b	189	169	358	0.802	0.53
chr11	62918655	62922364	Tvp23bos	5	5	10	-0.205	0.5
chr11	62933252	62939590	Gm36614	1	0	1	0	1
chr11	62951192	62993095	Cdrt4	3	1	4	0	0.75
chr11	62990452	63004134	Cdrt4os1	2	0	2	0	1
chr11	62994325	63000140	LOC108167905	1	0	1	0	1
chr11	63051208	63056102	Gm36874	0	2	2	0	0
chr11	63061658	63094960	Tekt3	3	2	5	0	0.6
chr11	63090086	63119259	Gm36926	0	2	2	0	0
chr11	63128981	63159547	Pmp22	235	211	446	0.86	0.53
chr11	63619191	63644391	Gm29958	0	2	2	0	0
chr11	63884692	63922284	Hs3st3b1	14	9	23	0.694	0.61
chr11	63962626	64079472	Cox10	206	194	400	0.536	0.52
chr11	63964225	63968040	9630013K17Rik	12	13	25	-0.301	0.48
chr11	64079483	64083259	2810001G20Rik	135	60	195	7.39	0.69
chr11	64164408	64182244	Gm12290	0	2	2	0	0
chr11	64433134	64436674	F930015N05Rik	6	6	12	-0.213	0.5
chr11	64435331	64522835	Hs3st3a1	21	6	27	2.528	0.78
chr11	64662792	64719258	Gm30305	1	0	1	0	1
chr11	64839342	64899083	Gm12292	1	2	3	0	0.33
chr11	64842113	64843917	Gm40025	0	2	2	0	0
chr11	64979029	65002076	Elac2	247	214	461	1.167	0.54
chr11	65002038	65163124	Arhgap44	974	864	1838	2.26	0.53
chr11	65152616	65158343	1700086D15Rik	1	0	1	0	1
chr11	65173607	65269989	Myocd	5	6	11	-0.301	0.45
chr11	65270009	65287592	Gm30586	5	0	5	0	1
chr11	65277653	65287833	Gm12295	5	0	5	0	1
chr11	65642411	65660361	Gm30786	0	2	2	0	0
chr11	65688243	65788359	Map2k4	819	824	1643	-0.337	0.5
chr11	65807174	65829239	Zkscan6	140	91	231	3.116	0.61
chr11	65831323	66170605	Dnah9	61	66	127	-0.442	0.48
chr11	66145480	66160077	Gm40027	4	7	11	-0.562	0.36
chr11	66168521	66426709	LOC102633054	298	328	626	-0.909	0.48
chr11	66211724	66526126	Shisa6	277	281	558	-0.347	0.5
chr11	66248644	66279197	LOC108167334	7	7	14	-0.218	0.5
chr11	66286596	66300916	LOC105244416	2	11	13	-1.95	0.15
chr11	66547784	66556312	Gm40028	2	0	2	0	1
chr11	66905631	66947086	Gm12298	5	15	20	-1.684	0.25
chr11	66911909	66929877	Pirt	5	14	19	-1.498	0.26
chr11	67025153	67035312	Tmem220	27	11	38	2.159	0.71
chr11	67037879	67052631	Adprm	173	154	327	0.797	0.53
chr11	67052669	67067444	Sco1	39	54	93	-1.136	0.42
chr11	67078272	67102291	Myh3	26	108	134	-12.65	0.19
chr11	67112460	67120080	2310065F04Rik	2	1	3	0	0.67
chr11	67134936	67143944	Gm31285	0	1	1	0	0
chr11	67171026	67197517	Myh2	2	2	4	0	0.5
chr11	67200108	67224575	Myh1	5	2	7	0	0.71
chr11	67237811	67260447	Myh4	2	3	5	0	0.4
chr11	67277123	67308634	Myh8	3	4	7	0	0.43
chr11	67327102	67371502	Myh13	3	3	6	0	0.5
chr11	67455023	67688992	Gas7	5072	5088	10160	-0.356	0.5
chr11	67663783	67771153	Glp2r	4944	4974	9918	-0.414	0.5
chr11	67695325	67703355	Rcvrn	0	22	22	-6.623	0
chr11	67817881	67844519	Gm40032	1	0	1	0	1
chr11	67854522	67922153	Usp43	31	17	48	1.527	0.65
chr11	67924805	67965932	Cfap52	31	42	73	-0.918	0.42
chr11	67966410	68207148	Stx8	74	62	136	0.762	0.54
chr11	68209363	68386826	Ntn1	151	113	264	1.947	0.57
chr11	68432124	68497849	Pik3r5	28	17	45	1.17	0.62
chr11	68503018	68552698	Pik3r6	26	26	52	-0.256	0.5
chr11	68562234	68572414	Gm40036	0	5	5	0	0
chr11	68587036	68597954	Ccdc42	10	1	11	2.232	0.91
chr11	68691914	68816625	Myh10	1493	1376	2869	1.819	0.52
chr11	68821433	68853131	Ndel1	188	168	356	0.804	0.53
chr11	68901565	68904534	Rpl26	201	95	296	9.462	0.68
chr11	68921827	68927522	Odf4	3	10	13	-1.336	0.23
chr11	68927969	68956934	Arhgef15	165	193	358	-1.115	0.46
chr11	68956945	68962325	Gm32273	7	3	10	0.765	0.7
chr11	68967606	68972516	Slc25a35	25	25	50	-0.255	0.5
chr11	68972483	68975185	Rangrf	34	19	53	1.573	0.64
chr11	68977003	68983568	Gm32384	1	0	1	0	1
chr11	68985700	69008460	Pfas	228	191	419	1.406	0.54
chr11	68990573	68990678	Mir3062	10	12	22	-0.381	0.45
chr11	69015907	69036473	Ctc1	178	112	290	4.197	0.61
chr11	69045624	69051664	Aurkb	6	2	8	0	0.75
chr11	69059774	69061576	Borcs6	110	84	194	1.441	0.57
chr11	69070808	69073293	Tmem107	37	34	71	0.391	0.52
chr11	69088527	69092381	Vamp2	3860	3478	7338	5.364	0.53
chr11	69095137	69109965	Per1	335	287	622	1.527	0.54
chr11	69118709	69124054	Hes7	4	7	11	-0.562	0.36
chr11	69125524	69149115	Aloxe3	45	21	66	2.67	0.68
chr11	69157071	69169791	Alox12b	8	18	26	-1.423	0.31
chr11	69183884	69197843	Alox8	38	85	123	-4.866	0.31
chr11	69218116	69237358	Gucy2e	48	57	105	-0.662	0.46
chr11	69249928	69262080	Gm40039	1	0	1	0	1
chr11	69299490	69323893	Cntrob	155	128	283	1.214	0.55
chr11	69323985	69325793	Trappc1	12	14	26	-0.374	0.46
chr11	69326257	69333042	Kcnab3	328	312	640	0.558	0.51
chr11	69340768	69342647	Chd3os	425	423	848	0.313	0.5
chr11	69343272	69369426	Chd3	1281	1187	2468	1.514	0.52
chr11	69369558	69374316	Gm32483	1	0	1	0	1
chr11	69390929	69395469	Cyb5d1	139	65	204	6.923	0.68
chr11	69396515	69398234	Tmem88	1	2	3	0	0.33
chr11	69398507	69418147	Kdm6b	111	97	208	0.736	0.53
chr11	69420806	69549108	Dnah2	29	39	68	-0.862	0.43
chr11	69554091	69561657	Efnb3	310	319	629	-0.426	0.49
chr11	69561753	69580364	Wrap53	69	35	104	3.256	0.66
chr11	69580358	69591873	Trp53	90	108	198	-0.945	0.45
chr11	69599749	69605960	Atp1b2	1813	1586	3399	4.278	0.53
chr11	69621995	69624032	Sat2	49	31	80	1.548	0.61
chr11	69632970	69653297	Fxr2	221	172	393	2.115	0.56
chr11	69656696	69662649	Mpdu1	119	104	223	0.759	0.53
chr11	69664212	69666170	Cd68	0	2	2	0	0
chr11	69666935	69672423	Eif4a1	247	96	343	16.051	0.72
chr11	69673109	69682084	Senp3	249	141	390	7.604	0.64
chr11	69682015	69691141	Tnfsf13os	42	43	85	-0.301	0.49
chr11	69682576	69685554	Tnfsf13	8	3	11	0.946	0.73
chr11	69682576	69696098	Tnfsfm13	46	47	93	-0.301	0.49
chr11	69686239	69696098	Tnfsf12	38	44	82	-0.537	0.46
chr11	69733996	69758633	Polr2a	195	166	361	1.153	0.54
chr11	69759883	69761844	Slc35g3	1	1	2	0	0.5
chr11	69765911	69784026	Zbtb4	330	308	638	0.693	0.52
chr11	69784035	69795974	Chrnb1	20	18	38	0.361	0.53
chr11	69796067	69802940	Fgf11	121	89	210	1.794	0.58
chr11	69803594	69805624	Tmem102	1	0	1	0	1
chr11	69803668	69806038	G630025P09Rik	2	3	5	0	0.4
chr11	69810964	69815362	Gm39566	0	3	3	0	0
chr11	69823122	69838061	Nlgn2	612	513	1125	2.762	0.54
chr11	69838524	69839558	Tmem256	2	5	7	0	0.29
chr11	69846247	69852058	Plscr3	61	71	132	-0.664	0.46
chr11	69850562	69858730	Tnk1	4	6	10	-0.424	0.4
chr11	69876620	69878171	Tmem95	2	1	3	0	0.67
chr11	69878263	69880985	Kctd11	5	4	9	0	0.56
chr11	69881566	69895570	Acap1	3	2	5	0	0.6
chr11	69897357	69901061	2810408A11Rik	3	1	4	0	0.75
chr11	69901815	69913824	Neurl4	280	291	571	-0.471	0.49
chr11	69913977	69917056	Gps2	30	35	65	-0.509	0.46
chr11	69916711	69921958	Eif5a	174	100	274	5.338	0.64
chr11	69935833	69941604	Ybx2	26	40	66	-1.264	0.39
chr11	69942285	69948217	Slc2a4	2	6	8	0	0.25
chr11	69964778	69967886	Cldn7	2	0	2	0	1
chr11	69968223	69981291	Elp5	165	128	293	1.754	0.56
chr11	69981167	69990601	Ctdnep1	79	67	146	0.742	0.54
chr11	69991369	69994949	Gabarap	278	233	511	1.589	0.54
chr11	69995765	70000011	Phf23	118	87	205	1.746	0.58
chr11	70000625	70010109	Dvl2	123	99	222	1.213	0.55
chr11	70010182	70015428	Acadvl	91	57	148	2.489	0.61
chr11	70018454	70045535	Dlg4	1253	1233	2486	0.454	0.5
chr11	70048908	70057895	Asgr1	21	7	28	2.203	0.75
chr11	70092643	70106187	Asgr2	0	2	2	0	0
chr11	70130124	70137542	Mgl2	6	3	9	0	0.67
chr11	70166622	70170836	Clec10a	1	2	3	0	0.33
chr11	70213909	70216414	Slc16a11	110	89	199	1.108	0.55
chr11	70216788	70222424	Slc16a13	34	42	76	-0.676	0.45
chr11	70224126	70229798	Bcl6b	3	8	11	-0.946	0.27
chr11	70235203	70237914	0610010K14Rik	11	3	14	1.542	0.79
chr11	70238122	70239852	Rnasek	62	52	114	0.7	0.54
chr11	70239000	70269430	Gm40191	60	53	113	0.543	0.53
chr11	70241454	70255381	Alox12	3	3	6	0	0.5
chr11	70344146	70382635	Alox15	25	6	31	3.358	0.81
chr11	70392880	70410031	Pelp1	151	138	289	0.619	0.52
chr11	70432579	70440828	Arrb2	106	99	205	0.472	0.52
chr11	70438254	70438318	Mir7115	3	4	7	0	0.43
chr11	70451930	70453727	Med11	52	37	89	1.163	0.58
chr11	70454231	70459984	Cxcl16	9	6	15	0.518	0.6
chr11	70459621	70466202	Zmynd15	1	4	5	0	0.2
chr11	70505273	70511183	Tm4sf5	2	2	4	0	0.5
chr11	70525356	70527858	Psmb6	366	284	650	3.134	0.56
chr11	70532173	70536953	Gm40193	2	0	2	0	1
chr11	70540059	70558110	Pld2	187	174	361	0.579	0.52
chr11	70562654	70614482	Mink1	973	831	1804	3.349	0.54
chr11	70614882	70619365	Chrne	2	1	3	0	0.67
chr11	70615710	70616892	4930544D05Rik	0	1	1	0	0
chr11	70623029	70635992	Gm12315	5	2	7	0	0.71
chr11	70639041	70642058	Gp1ba	2	1	3	0	0.67
chr11	70644018	70647423	Slc25a11	135	171	306	-1.646	0.44
chr11	70647242	70651421	Rnf167	168	166	334	0.32	0.5
chr11	70651846	70654650	Pfn1	37	25	62	1.092	0.6
chr11	70655252	70662513	Eno3	42	25	67	1.604	0.63
chr11	70663768	70669416	Spag7	186	157	343	1.186	0.54
chr11	70669462	70688176	Camta2	775	616	1391	4.953	0.56
chr11	70688360	70700178	Inca1	40	11	51	4.545	0.78
chr11	70700322	70731970	Kif1c	634	503	1137	4.245	0.56
chr11	70748709	70755317	Gm12320	1	0	1	0	1
chr11	70764446	70772928	Zfp3	96	59	155	2.734	0.62
chr11	70790931	70812561	Scimp	0	1	1	0	0
chr11	70844722	70943105	Rabep1	438	417	855	0.607	0.51
chr11	70943057	70969973	Nup88	100	70	170	1.889	0.59
chr11	70970199	70977933	Rpain	176	147	323	1.225	0.54
chr11	70977845	70983026	C1qbp	121	104	225	0.845	0.54
chr11	70984090	71004553	Dhx33	368	352	720	0.54	0.51
chr11	71007439	71019841	Derl2	104	106	210	-0.326	0.5
chr11	71019610	71027371	Mis12	145	125	270	0.907	0.54
chr11	71031940	71033617	6330403K07Rik	1280	925	2205	13.678	0.58
chr11	71091196	71144973	Nlrp1a	0	6	6	0	0
chr11	71153010	71242514	Nlrp1b	16	1	17	3.862	0.94
chr11	71242429	71285232	Nlrp1c-ps	5	0	5	0	1
chr11	71385159	71392682	Gm33249	1	0	1	0	1
chr11	71428537	71436569	Gm16013	2	0	2	0	1
chr11	71650163	71664679	Gm33964	6	8	14	-0.403	0.43
chr11	71739396	71740738	Gm12326	3	1	4	0	0.75
chr11	71749922	71789649	Wscd1	314	421	735	-4.347	0.43
chr11	71928470	71940122	4930401O10Rik	4	0	4	0	1
chr11	72042426	72047372	Fam64a	2	1	3	0	0.67
chr11	72047527	72135889	Pitpnm3	404	392	796	0.458	0.51
chr11	72051330	72055601	LOC108167909	3	10	13	-1.336	0.23
chr11	72154096	72207470	4933427D14Rik	305	256	561	1.672	0.54
chr11	72207553	72210487	Txndc17	1	1	2	0	0.5
chr11	72211723	72215592	Med31	1	0	1	0	1
chr11	72215137	72218450	4930563E22Rik	3	5	8	0	0.38
chr11	72241989	72267056	Slc13a5	34	26	60	0.737	0.57
chr11	72243644	72247660	Gm34252	0	2	2	0	0
chr11	72266843	72268556	1700051A21Rik	0	1	1	0	0
chr11	72301431	72313733	Xaf1	53	43	96	0.747	0.55
chr11	72314443	72319419	Fbxo39	0	1	1	0	0
chr11	72344716	72362442	Tekt1	7	11	18	-0.619	0.39
chr11	72361927	72370855	Gm34317	0	1	1	0	0
chr11	72389162	72411713	Smtnl2	4	2	6	0	0.67
chr11	72435246	72438566	Ggt6	0	1	1	0	0
chr11	72441377	72451550	Mybbp1a	68	48	116	1.413	0.59
chr11	72451637	72489920	Spns2	71	58	129	0.838	0.55
chr11	72457916	72461817	Gm40194	0	1	1	0	0
chr11	72690001	72772146	Ankfy1	1	1	2	0	0.5
chr11	72796225	72927120	Zzef1	9	7	16	0.396	0.56
chr11	72961168	72993043	Atp2a3	159	129	288	1.36	0.55
chr11	73047866	73083579	Ncbp3	5	0	5	0	1
chr11	73090504	73147449	Itgae	3	0	3	0	1
chr11	73183132	73199037	Ctns	1	2	3	0	0.33
chr11	73199131	73224511	Shpk	11	4	15	1.227	0.73
chr11	73267488	73300368	Trpv3	26	8	34	2.833	0.76
chr11	73304986	73326867	Aspa	106	76	182	1.805	0.58
chr11	73326536	73346434	Spata22	0	1	1	0	0
chr11	74060896	74087301	Zfp616	1	0	1	0	1
chr11	74383482	74610910	Rap1gap2	932	1023	1955	-1.68	0.48
chr11	74616634	74621411	LOC108167912	11	8	19	0.49	0.58
chr11	74619604	74641516	Ccdc92b	250	237	487	0.533	0.51
chr11	74648880	74670847	Cluh	235	207	442	1.002	0.53
chr11	74673948	74724384	Pafah1b1	1168	1190	2358	-0.478	0.5
chr11	74730778	74738018	Gm40198	2	0	2	0	1
chr11	74770835	74826855	Mettl16	214	236	450	-0.793	0.48
chr11	74830780	74845725	Mnt	123	138	261	-0.714	0.47
chr11	74849261	74897536	Sgsm2	386	316	702	2.339	0.55
chr11	74898079	74909340	Tsr1	848	747	1595	2.213	0.53
chr11	74904026	74928124	Srr	907	760	1667	3.762	0.54
chr11	74905445	74905505	Snord91a	28	18	46	1.036	0.61
chr11	74925871	75164448	Smg6	239	173	412	3.176	0.58
chr11	75164564	75170255	Hic1	11	14	25	-0.462	0.44
chr11	75175942	75178808	Ovca2	58	38	96	1.586	0.6
chr11	75177642	75190483	Dph1	92	95	187	-0.355	0.49
chr11	75193992	75267769	Rtn4rl1	251	251	502	-0.286	0.5
chr11	75254063	75274183	Gm35117	260	236	496	0.821	0.52
chr11	75300258	75348383	Rpa1	149	129	278	0.895	0.54
chr11	75348432	75405707	Smyd4	88	78	166	0.615	0.53
chr11	75410028	75422623	Serpinf1	93	65	158	1.804	0.59
chr11	75422662	75426377	Gm35337	2	0	2	0	1
chr11	75431735	75439501	Serpinf2	2	1	3	0	0.67
chr11	75440942	75454717	Wdr81	227	204	431	0.84	0.53
chr11	75461538	75466690	Mir22hg	72	45	117	2.101	0.62
chr11	75468023	75470899	Tlcd2	1	4	5	0	0.2
chr11	75486776	75509447	Prpf8	679	498	1177	7.135	0.58
chr11	75510093	75513168	Rilp	5	6	11	-0.301	0.45
chr11	75513488	75526582	Scarf1	43	40	83	0.384	0.52
chr11	75530988	75577575	Slc43a2	459	635	1094	-7.242	0.42
chr11	75588078	75628804	Pitpna	699	623	1322	1.709	0.53
chr11	75590023	75594766	4931413K12Rik	5	10	15	-0.821	0.33
chr11	75630506	75648865	Inpp5k	246	240	486	0.387	0.51
chr11	75650528	75674643	Myo1c	109	116	225	-0.463	0.48
chr11	75679247	75708428	Crk	292	337	629	-1.402	0.46
chr11	75732886	75765841	Ywhae	1727	1831	3558	-1.376	0.49
chr11	75768269	75796060	Doc2b	346	391	737	-1.28	0.47
chr11	75795808	75853912	Gm12339	87	127	214	-2.424	0.41
chr11	75830991	75967250	Rph3al	61	80	141	-1.19	0.43
chr11	75999911	76003569	1700016K19Rik	13	6	19	1.078	0.68
chr11	76019193	76027782	Fam101b	111	96	207	0.782	0.54
chr11	76046225	76179630	Vps53	191	162	353	1.167	0.54
chr11	76149955	76174620	LOC108167849	15	4	19	2.017	0.79
chr11	76202025	76209417	Fam57a	20	13	33	0.829	0.61
chr11	76210570	76217572	Gemin4	50	37	87	1.004	0.57
chr11	76213850	76214710	LOC108167850	6	0	6	0	1
chr11	76220394	76243699	Glod4	190	107	297	6.074	0.64
chr11	76243735	76250625	Rnmtl1	76	75	151	0.301	0.5
chr11	76257225	76399141	Nxn	78	70	148	0.549	0.53
chr11	76399224	76404297	Gm40199	1	3	4	0	0.25
chr11	76406924	76416313	Timm22	126	127	253	-0.301	0.5
chr11	76416731	76577739	Abr	1543	1401	2944	2.33	0.52
chr11	76626652	76659995	LOC108167914	3	5	8	0	0.38
chr11	76672469	76673676	Bhlha9	3	5	8	0	0.38
chr11	76679872	76698664	Tusc5	3	1	4	0	0.75
chr11	76726601	76763622	Gosr1	543	537	1080	0.357	0.5
chr11	76777207	76847008	Cpd	370	315	685	1.71	0.54
chr11	76945655	76987389	Blmh	56	67	123	-0.736	0.46
chr11	76998465	77032345	Slc6a4	23	17	40	0.668	0.58
chr11	77044291	77078437	Nsrp1	211	212	423	-0.301	0.5
chr11	77089903	77216101	Efcab5	59	37	96	1.802	0.61
chr11	77216178	77460220	Ssh2	185	166	351	0.774	0.53
chr11	77462319	77470484	Coro6	361	312	673	1.494	0.54
chr11	77470484	77489678	Ankrd13b	394	357	751	1.025	0.52
chr11	77489402	77491412	2210008F06Rik	7	3	10	0.765	0.7
chr11	77493411	77507775	Git1	578	420	998	6.497	0.58
chr11	77508098	77515921	Trp53i13	20	15	35	0.602	0.57
chr11	77515116	77520628	Abhd15	6	5	11	0.301	0.55
chr11	77529161	77608523	Taok1	382	375	757	0.383	0.5
chr11	77685834	77717966	Nufip2	182	222	404	-1.583	0.45
chr11	77763250	77865988	Myo18a	1007	1147	2154	-2.864	0.47
chr11	77776618	77788944	Gm10277	59	84	143	-1.654	0.41
chr11	77839684	77840771	Gm36875	0	1	1	0	0
chr11	77880613	77893872	Pipox	21	19	40	0.359	0.52
chr11	77884261	77886813	Gm29932	2	1	3	0	0.67
chr11	77896025	77907238	Gm29979	1	1	2	0	0.5
chr11	77912126	77929288	Gm11190	2	1	3	0	0.67
chr11	77930838	77979052	Sez6	861	814	1675	0.884	0.51
chr11	77982753	78030539	Phf12	111	114	225	-0.35	0.49
chr11	78030005	78032665	Dhrs13os	22	22	44	-0.252	0.5
chr11	78032285	78037866	Dhrs13	72	49	121	1.647	0.6
chr11	78037840	78060434	Flot2	560	475	1035	2.347	0.54
chr11	78073375	78080383	Eral1	116	111	227	0.403	0.51
chr11	78094665	78157339	Fam222b	114	63	177	4.109	0.64
chr11	78158422	78165569	Traf4	14	7	21	1.024	0.67
chr11	78166105	78176699	Nek8	34	17	51	1.919	0.67
chr11	78176715	78180820	Tlcd1	99	71	170	1.721	0.58
chr11	78178826	78178887	Mir7653	20	22	42	-0.358	0.48
chr11	78180934	78183584	Rpl23a	188	123	311	3.867	0.6
chr11	78188426	78192193	Rab34	34	27	61	0.655	0.56
chr11	78193391	78205763	Proca1	23	9	32	1.999	0.72
chr11	78206748	78245738	Supt6	350	311	661	1.157	0.53
chr11	78245745	78255496	Sdf2	336	259	595	3.043	0.56
chr11	78261702	78290625	2610507B11Rik	760	705	1465	1.102	0.52
chr11	78290726	78296805	BC030499	74	31	105	4.786	0.7
chr11	78292842	78301382	Gm3948	68	22	90	6.204	0.76
